tstart 0.000000
tend 1.509000
errx 0.005947
erro 0.197819
shoulder_pitch 59.603954 45.396046
shoulder_roll 23.305915 136.694085
shoulder_yaw 115.235360 1.764640
elbow 4.803975 86.196025
wrist_prosup 72.074393 47.925607
wrist_pitch 29.142734 75.857266
wrist_yaw 45.000037 0.000051
hand_fingers 49.967549 10.032451
thumb_oppose 10.134700 79.865300
thumb_proximal 10.002739 79.997261
thumb_distal 9.993757 170.006243
index_proximal 10.070568 79.929432
index_distal 10.021196 169.978804
middle_proximal 10.071392 79.928608
middle_distal 10.022564 169.977436
pinky 10.058681 259.941319
torso_yaw 81.677724 18.322276
torso_roll 29.878052 30.121948
torso_pitch 25.462003 64.537997
