tstart 0.000000
tend 1.660000
errx 0.003715
erro 0.068265
shoulder_pitch 49.160119 55.839881
shoulder_roll 24.714110 135.285890
shoulder_yaw 88.456060 28.543940
elbow 13.951781 77.048219
wrist_prosup 107.392276 12.607724
wrist_pitch 52.172650 52.827350
wrist_yaw 44.999987 0.000013
hand_fingers 49.999086 10.000914
thumb_oppose 10.129052 79.870948
thumb_proximal 9.994566 80.005434
thumb_distal 9.997793 170.002207
index_proximal 10.070296 79.929704
index_distal 10.020689 169.979311
middle_proximal 10.072365 79.927635
middle_distal 10.022816 169.977184
pinky 10.092721 259.907279
torso_yaw 69.104957 30.895043
torso_roll 29.945322 30.054678
torso_pitch 28.317892 61.682108
